,Preselections,n(good vertex) > 0,No b-tagged jets
ZGamma,1609.7063743964527,39.12280393175374,33.93332337714927
TTbar,20615.754486871563,114.42573280252222,69.56377997375964
SingleTop,3467.544397119086,40.834177040469505,29.236947932546375
QCD,46583.79656446687,146.71270589827583,56.09436488524232
DY-M4to50,355.3310703712196,6.312728755376428,4.637210283095107
TTX,394.77209721947895,2.241336630146726,1.0479013271717135
ZJets,49623.76224876413,657.3256799997755,542.0807311680876
Multiboson,4362.918680339711,39.25468937049243,27.356686235116463
WJets,169523.9091901544,1478.6032118528017,1189.4533801145342
DY-M50,4144.21710346463,83.43301132557575,65.68586153381607
Total,300681.7122131676,2608.26607760719,2019.0901868305186
