,Preselections,n(good vertex) > 0,No b-tagged jets
TTX,394.77209721947895,59.77885788292393,28.77887211745809
SingleTop,3467.544397119086,1510.3038239521286,933.01067151905
TTbar,20615.754486871563,4126.340336784602,2316.0002508661332
QCD,46583.79656446687,9506.078459012911,4700.169291153203
Multiboson,4362.918680339711,2156.8192144365535,1542.3978309508911
DY-M4to50,355.3310703712196,150.7502187261726,104.66215724525296
ZJets,49623.76224876413,28739.826492270477,23002.03224168512
DY-M50,4144.21710346463,1984.444720599329,1463.0528005327037
ZGamma,1609.7063743964527,973.712954851869,717.1851320939589
WJets,169523.9091901544,93266.87201097043,72522.05989149242
Total,300681.7122131676,142474.92708948738,107329.34913965619
