,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx CosCollinear < 0
QCD,46583.79656446687,351.9252728341551,108.46743764056099,108.46743764056099,108.46743764056099,101.11933859932599,0.0,0.0
TTX,394.77209721947895,5.876677449873916,1.5396539163398753,1.513107903489022,1.5048716001096454,1.485133459899603,0.006713291311099573,0.5465668204386296
DY-M4to50,355.3310703712196,4.204188326162015,2.221229579833802,2.2056341928886516,2.2056341928886516,2.1807149225467954,1.0619392137798993,0.22508400166866444
WJets,169523.9091901544,854.8604175945313,464.0102922116082,441.45473008372835,438.159712526037,434.08625753631367,273.38857194161204,91.32788252348506
SingleTop,3467.544397119086,27.584231142893536,9.834400945201597,9.214919866892458,9.214919866892458,9.141196075531195,5.1691155622596465,1.8752575818410246
ZGamma,1609.7063743964527,13.995024989109073,7.925852916292516,7.058490355242665,7.058490355242665,7.058490355242665,5.023109630072034,1.0046219668556724
ZJets,49623.76224876413,294.10930217543387,170.90717665838045,160.65580163130505,158.56431926130168,157.1623723808997,107.1189731963287,36.68944711725496
DY-M50,4144.21710346463,41.95605140078649,21.2102959179316,20.167442261355223,20.15674492618997,20.05585964947298,12.858855384182593,5.2639815454161845
Multiboson,4362.918680339711,24.658397492053503,12.195886536765006,11.139228593461908,10.640669497869148,10.42050906621095,6.9225885063702,1.9456906147469424
TTbar,20615.754486871563,286.98205284503007,101.66370424480897,94.96805362651389,93.47188282872142,92.91853694382705,58.03657049605647,21.6180490161195
Total,300681.7122131676,1906.151616250029,899.9759305677229,856.8448461554383,849.4446826958135,835.6284089892705,469.5864372219727,160.49658118782665
