,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5.0,0.1,10.0,1403.2879602818848,80342.3011353959,4.95079183355644
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,5.0,0.1,1.0,21956.345650695363,80342.3011353959,77.46186087164158
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,5.0,0.1,100.0,51.88161704496108,80342.3011353959,0.1830380458236813
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,5.0,0.2,1.0,1060.333698870008,80342.3011353959,3.74085117651536
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,5.0,0.2,10.0,52.17063032135737,80342.3011353959,0.1840576829965711
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,5.0,0.2,100.0,1.753637200068338,80342.3011353959,0.006186821931669062
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,10.0,0.2,10.0,36.70454430532661,80342.3011353959,0.12949342069800074
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,10.0,0.2,100.0,1.1041927421725775,80342.3011353959,0.003895585628428096
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,10.0,0.1,1.0,15218.854222578817,80342.3011353959,53.69202995662713
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,10.0,0.1,10.0,991.075558899736,80342.3011353959,3.496508857991331
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,10.0,0.1,100.0,33.33979474019442,80342.3011353959,0.11762260363086594
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,10.0,0.2,1.0,657.8239471243421,80342.3011353959,2.3207990929294784
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,20.0,0.1,10.0,962.7653571781196,80342.3011353959,3.3966306295331035
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,20.0,0.2,100.0,1.1494379066021942,80342.3011353959,0.004055210307685709
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,20.0,0.1,1.0,12533.646226863102,80342.3011353959,44.21863162866071
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,20.0,0.2,1.0,531.9864788253644,80342.3011353959,1.8768452302562375
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,20.0,0.2,10.0,34.689330899409825,80342.3011353959,0.12238375942015287
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,20.0,0.1,100.0,32.90383093022938,80342.3011353959,0.1160845258227534
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,30.0,0.2,10.0,6256.692639906702,80342.3011353959,22.07357556213949
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,30.0,0.1,1.0,14588.906405168349,80342.3011353959,51.469577688615104
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,30.0,0.1,100.0,4573.677934175677,80342.3011353959,16.13590938333552
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,30.0,0.1,10.0,9404.860418460747,80342.3011353959,33.180293334876644
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,30.0,0.2,100.0,260.45647367778844,80342.3011353959,0.9188889375363
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,30.0,0.2,1.0,28920.646300954373,80342.3011353959,102.0318734147608
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,40.0,0.2,10.0,20.55807624183478,80342.3011353959,0.07252877445856624
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,40.0,0.1,100.0,21.545983316685177,80342.3011353959,0.07601410492309864
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,40.0,0.2,100.0,0.748650740352365,80342.3011353959,0.0026412354957979878
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,40.0,0.2,1.0,301.1699625633936,80342.3011353959,1.062525891600921
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,40.0,0.1,1.0,7299.831995227091,80342.3011353959,25.75376519374163
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,40.0,0.1,10.0,569.9432851056599,80342.3011353959,2.010756623982314
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,50.0,0.2,100.0,0.3174064750999156,80342.3011353959,0.0011198082142220764
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,50.0,0.1,100.0,9.158889891162167,80342.3011353959,0.03231251073265096
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,50.0,0.2,10.0,8.394352172762055,80342.3011353959,0.02961522606989306
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,50.0,0.1,10.0,230.92533307253413,80342.3011353959,0.8147032437356266
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,50.0,0.2,1.0,125.11023688812713,80342.3011353959,0.4413881944484372
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,50.0,0.1,1.0,3046.8663615714695,80342.3011353959,10.749326957651501
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,60.0,0.1,1.0,1995.436600236061,80342.3011353959,7.039888821424705
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,60.0,0.1,10.0,145.68485205085014,80342.3011353959,0.513975318124546
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,60.0,0.1,100.0,6.0140859207844795,80342.3011353959,0.02121766045576677
63,60.0,0.2,10.0,0.0,80342.3011353959,0.0
62,60.0,0.2,1.0,0.0,80342.3011353959,0.0
64,60.0,0.2,100.0,0.0,80342.3011353959,0.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,70.0,0.2,100.0,0.1531763733007979,80342.3011353959,0.0005404053619038039
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,70.0,0.2,10.0,3.9996646243841587,80342.3011353959,0.014110793735726242
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,70.0,0.1,100.0,4.419020345038584,80342.3011353959,0.01559027830050086
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,70.0,0.1,10.0,107.0729528217147,80342.3011353959,0.3777527602517421
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,70.0,0.1,1.0,1435.492926295851,80342.3011353959,5.064410767983754
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,70.0,0.2,1.0,56.14653550682878,80342.3011353959,0.19808465356879248
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,80.0,0.1,100.0,3.309149906680357,80342.3011353959,0.01167466179266318
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,80.0,0.2,100.0,0.12360807741041979,80342.3011353959,0.00043608858447142363
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,80.0,0.2,10.0,2.9820172907476854,80342.3011353959,0.010520539809656856
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,80.0,0.1,1.0,1085.982132288219,80342.3011353959,3.8313387017449556
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,80.0,0.1,10.0,81.78849326431022,80342.3011353959,0.28854933270466826
65,80.0,0.2,1.0,0.0,80342.3011353959,0.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,90.0,0.2,10.0,2.3901418100005305,80342.3011353959,0.008432406525896129
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,90.0,0.1,100.0,2.5898054168183475,80342.3011353959,0.009136818579637052
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,90.0,0.1,10.0,63.386002047826516,80342.3011353959,0.2236254497880354
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,90.0,0.1,1.0,865.8970373477994,80342.3011353959,3.054879755642652
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,90.0,0.2,100.0,0.09584558435724011,80342.3011353959,0.0003381426690377589
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,90.0,0.2,1.0,32.94545552774724,80342.3011353959,0.11623137716281984
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,100.0,0.2,100.0,0.07947580151625933,80342.3011353959,0.00028039016955081083
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,100.0,0.2,1.0,25.49772850474783,80342.3011353959,0.08995583916375055
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,100.0,0.1,1.0,689.1436507630812,80342.3011353959,2.431294826800757
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,100.0,0.1,100.0,2.0885170557936914,80342.3011353959,0.007368276131999123
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,100.0,0.1,10.0,50.863396150628574,80342.3011353959,0.17944576837878304
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,100.0,0.2,10.0,1.8842406350585161,80342.3011353959,0.006647590097351826
