,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5.0,0.1,10.0,1388.9028739218074,55948.875804493306,5.8718667862408065
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,5.0,0.1,1.0,21832.530009487946,55948.875804493306,92.30142022842068
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,5.0,0.1,100.0,51.34764926636117,55948.875804493306,0.2170825346680523
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,5.0,0.2,1.0,1055.2758853125135,55948.875804493306,4.4613914605783
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,5.0,0.2,10.0,51.71487586759555,55948.875804493306,0.21863505912696107
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,5.0,0.2,100.0,1.7278820546539775,55948.875804493306,0.0073049695826573734
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,10.0,0.2,10.0,36.40570260275457,55948.875804493306,0.15391244410003999
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,10.0,0.2,100.0,1.096583453335481,55948.875804493306,0.004636027528548666
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,10.0,0.2,1.0,653.6638597577503,55948.875804493306,2.76349569112749
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,10.0,0.1,10.0,983.8448634409947,55948.875804493306,4.159402421092573
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,10.0,0.1,1.0,15129.699389529074,55948.875804493306,63.96385305210699
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,10.0,0.1,100.0,32.98868797038819,55948.875804493306,0.13946632615715165
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,20.0,0.1,10.0,955.1541644987229,55948.875804493306,4.03810670966715
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,20.0,0.2,1.0,529.8273338689525,55948.875804493306,2.239951822839102
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,20.0,0.2,100.0,1.1343506639485659,55948.875804493306,0.004795696022128599
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,20.0,0.2,10.0,34.52611029107312,55948.875804493306,0.1459660888336909
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,20.0,0.1,100.0,32.691063183409234,55948.875804493306,0.1382080573939162
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,20.0,0.1,1.0,12464.594946705158,55948.875804493306,52.69658695775979
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,30.0,0.1,10.0,9364.792989947508,55948.875804493306,39.591549524570475
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,30.0,0.1,100.0,4543.795511715617,55948.875804493306,19.20981117518736
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,30.0,0.1,1.0,14514.872784029772,55948.875804493306,61.364549679701575
