,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5.0,0.1,10.0,1957.7067820565392,178586.03049078304,4.632590404504303
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,5.0,0.1,1.0,27824.666364271103,178586.03049078304,65.84248651999269
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,5.0,0.1,100.0,91.5971171790728,178586.03049078304,0.21674947955090348
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,5.0,0.2,1.0,1294.0098837446174,178586.03049078304,3.0620610939866055
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,5.0,0.2,10.0,73.7617396495359,178586.03049078304,0.1745449984910539
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,5.0,0.2,100.0,3.1658494383318905,178586.03049078304,0.007491460858461741
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,10.0,0.2,10.0,49.15732257531603,178586.03049078304,0.11632270111171072
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,10.0,0.2,100.0,1.8270465659155175,178586.03049078304,0.004323404540158723
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,10.0,0.2,1.0,763.9390202219719,178586.03049078304,1.8077357687799631
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,10.0,0.1,1.0,18362.68412528533,178586.03049078304,43.45226520101188
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,10.0,0.1,10.0,1342.2533776287837,178586.03049078304,3.176221370130092
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,10.0,0.1,100.0,56.055906671488046,178586.03049078304,0.13264706325904965
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,20.0,0.2,1.0,607.1987065062793,178586.03049078304,1.4368356523919816
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,20.0,0.2,10.0,43.73285737123882,178586.03049078304,0.10348659833866031
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,20.0,0.2,100.0,1.77179498989507,178586.03049078304,0.004192660792804901
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,20.0,0.1,10.0,1248.9874236041442,178586.03049078304,2.955522863264008
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,20.0,0.1,100.0,51.38972836665113,178586.03049078304,0.1216053214421337
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,20.0,0.1,1.0,14784.964369657098,178586.03049078304,34.98618112660418
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,30.0,0.1,1.0,17077.61209207093,178586.03049078304,40.411354057049806
