,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5.0,0.1,10.0,500.89305719195386,2019.0901868305186,11.147234903272174
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,5.0,0.1,100.0,9.118721610273546,2019.0901868305186,0.20293459920788928
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,5.0,0.2,1.0,497.24915488783284,2019.0901868305186,11.06614087658247
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,5.0,0.1,1.0,7690.395251708909,2019.0901868305186,171.14759555741998
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,5.0,0.2,10.0,23.806218358296125,2019.0901868305186,0.5298007316895591
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,5.0,0.2,100.0,0.39353237413443504,2019.0901868305186,0.008757952927340766
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,10.0,0.2,1.0,336.8420471098195,2019.0901868305186,7.496325553966066
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,10.0,0.2,100.0,0.4181330153274313,2019.0901868305186,0.009305433317040701
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,10.0,0.1,100.0,9.156711982166572,2019.0901868305186,0.20378006430961842
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,10.0,0.1,10.0,456.48854409172935,2019.0901868305186,10.159024882816773
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,10.0,0.1,1.0,6311.626616896722,2019.0901868305186,140.46348518927525
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,10.0,0.2,10.0,19.298894532083807,2019.0901868305186,0.4294915004984199
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,20.0,0.1,1.0,5787.198401586516,2019.0901868305186,128.7924819241484
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,20.0,0.1,10.0,492.98193416539823,2019.0901868305186,10.971175072816377
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,20.0,0.2,1.0,280.4307551550924,2019.0901868305186,6.240908028034122
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,20.0,0.1,100.0,12.120864242686189,2019.0901868305186,0.2697464438843604
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,20.0,0.2,100.0,0.4921784847777356,2019.0901868305186,0.010953294531394273
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,20.0,0.2,10.0,20.942341626970457,2019.0901868305186,0.4660659559730166
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,30.0,0.2,10.0,3866.86530033684,2019.0901868305186,86.05600581452674
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,30.0,0.2,1.0,15567.04348975904,2019.0901868305186,346.4401992365754
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,30.0,0.2,100.0,114.63786742071568,2019.0901868305186,2.5512336787274945
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,30.0,0.1,10.0,5098.025570553886,2019.0901868305186,113.45513331017116
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,30.0,0.1,1.0,6921.819549018505,2019.0901868305186,154.0431582412642
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,30.0,0.1,100.0,1771.9049045635277,2019.0901868305186,39.433248103218055
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,40.0,0.2,10.0,12.810299197153475,2019.0901868305186,0.285089625982068
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,40.0,0.1,1.0,3509.183385931991,2019.0901868305186,78.09589484218606
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,40.0,0.1,10.0,324.72792767180556,2019.0901868305186,7.226729213823369
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,40.0,0.1,100.0,8.72522514524497,2019.0901868305186,0.19417744542765672
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,40.0,0.2,1.0,165.7581607693463,2019.0901868305186,3.688901510411949
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,40.0,0.2,100.0,0.3559948994969782,2019.0901868305186,0.007922566927372717
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,50.0,0.2,10.0,5.234110711456334,2019.0901868305186,0.11648367006208535
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,50.0,0.2,100.0,0.1555175357712002,2019.0901868305186,0.0034609992650691695
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,50.0,0.2,1.0,70.84534409418082,2019.0901868305186,1.5766433195306535
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,50.0,0.1,100.0,3.9225225566690307,2019.0901868305186,0.08729464248855995
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,50.0,0.1,10.0,131.92077361149953,2019.0901868305186,2.9358599225008315
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,50.0,0.1,1.0,1484.6041645834719,2019.0901868305186,33.03945048422992
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,60.0,0.1,10.0,86.3007568974956,2019.0901868305186,1.9205992090601156
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,60.0,0.1,100.0,2.6689238901978944,2019.0901868305186,0.059396154759616876
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,60.0,0.1,1.0,969.1829294590127,2019.0901868305186,21.56889504415879
63,60.0,0.2,10.0,0.0,2019.0901868305186,0.0
62,60.0,0.2,1.0,0.0,2019.0901868305186,0.0
