,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,5.0,0.1,100.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,5.0,0.2,10.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,5.0,0.2,1.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5.0,0.1,10.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,5.0,0.2,100.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,5.0,0.1,1.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,10.0,0.2,10.0,0.016653593905634926,160.49658118782665,0.0013145438491233587
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,10.0,0.1,10.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,10.0,0.2,100.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,10.0,0.1,100.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,10.0,0.1,1.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,10.0,0.2,1.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,20.0,0.1,100.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,20.0,0.1,1.0,3.828114444019461,160.49658118782665,0.3021704699082016
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,20.0,0.2,10.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,20.0,0.1,10.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,20.0,0.2,100.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,20.0,0.2,1.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,30.0,0.1,1.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,30.0,0.2,100.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,30.0,0.1,10.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,30.0,0.2,1.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,30.0,0.1,100.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,30.0,0.2,10.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,40.0,0.1,1.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,40.0,0.2,1.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,40.0,0.1,10.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,40.0,0.2,10.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,40.0,0.1,100.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,40.0,0.2,100.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,50.0,0.2,10.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,50.0,0.1,1.0,0.47683820271602684,160.49658118782665,0.03763900632855574
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,50.0,0.2,100.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,50.0,0.1,100.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,50.0,0.2,1.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,50.0,0.1,10.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,60.0,0.1,10.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,60.0,0.1,1.0,0.2983247899451876,160.49658118782665,0.023548131405484337
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,60.0,0.1,100.0,0.0,160.49658118782665,0.0
63,60.0,0.2,10.0,0.0,160.49658118782665,0.0
62,60.0,0.2,1.0,0.0,160.49658118782665,0.0
64,60.0,0.2,100.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,70.0,0.2,100.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,70.0,0.2,10.0,0.0015160039469822675,160.49658118782665,0.00011966508100560626
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,70.0,0.1,100.0,0.0,160.49658118782665,0.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,70.0,0.1,1.0,0.17979848276588084,160.49658118782665,0.014192311337772458
