,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,0.010929611532130115,0.0009522558502495811,0.0008003792960350531,0.0007589592554931021,0.0007555313274403704,0.0007555313274403704,0.0007072710178289002,5.0,0.2,10.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,0.010675780282311816,0.0008089862665999996,0.0006701812845541483,0.0006296364936165757,0.0006296364936165757,0.0006296364936165757,0.000616823409240433,5.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,0.012593406008752844,0.0011905883665117997,0.000979650870327311,0.0009171182629667561,0.0009171182629667561,0.0009171182629667561,0.0008885125153963516,10.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,0.012434052608005182,0.0011720478243857585,0.000997981753118715,0.0009451569751500361,0.0009451569751500361,0.0009451569751500361,0.0009218520412848136,10.0,0.1,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,0.015837739586141777,0.0016832809757075047,0.0014651470129474853,0.001380999296283819,0.001380999296283819,0.001380999296283819,0.0013542318789543813,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,0.016286106070609714,0.001689500059776908,0.001474582135739641,0.0014220588782148497,0.0014220588782148497,0.0014220588782148497,0.001404517253278513,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,0.019309047791447587,0.0022066833028099395,0.0019132273788736377,0.0018534855058154553,0.001850996412011357,0.001850996412011357,0.0018111356383544803,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,0.02012816097691991,0.0023692475586694723,0.002039502225409611,0.001977402814731295,0.0019754608173530707,0.0019754608173530707,0.0019599265257367474,30.0,0.1,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,0.0258748541724068,0.003002434982190588,0.002597114026039203,0.0024996260745261427,0.0024996260745261427,0.0024996260745261427,0.0024821208041485078,40.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,0.024701578032977844,0.00332708274170851,0.0028446143469095025,0.002727490295845573,0.002727490295845573,0.002727490295845573,0.002678435012349509,40.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,0.03244537753715607,0.0039320047884002455,0.003333147466869485,0.0032105998733904027,0.0032105998733904027,0.0032105998733904027,0.003176914861651197,50.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,0.031124630149919286,0.004708344051215298,0.004078633543860984,0.0038802837282722455,0.0038802837282722455,0.0038802837282722455,0.003820150448207741,50.0,0.2,10.0
sig_2018_Mchi-60p0_dMchi-20p0_ctau-10,0.028663140752857502,0.004387092041816984,0.0037468299258892343,0.003646459774394822,0.003646459774394822,0.003646459774394822,0.0034999750023547126,50.0,0.4,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,0.03916553111155313,0.004872374608900758,0.004158026548247818,0.003985289847459862,0.003981900064254689,0.003981900064254689,0.003941229677755509,60.0,0.1,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,0.04523180804792601,0.006069337971181417,0.00522372344505202,0.005073003822410532,0.005073003822410532,0.005073003822410532,0.004993446292432818,70.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,0.045542162163075106,0.007230345027639706,0.006165775110921949,0.005947622630610911,0.005943282022959619,0.005943282022959619,0.005829848813426496,70.0,0.2,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,0.05231690450583132,0.00731357097180164,0.006255689996953408,0.006045363894360065,0.006045363894360065,0.006045363894360065,0.006008617613802495,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,0.05192829530845655,0.008953523591178344,0.007454312742833613,0.007274625798630745,0.007274625798630745,0.007274625798630745,0.007101963973121714,80.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,0.05833014895699071,0.008197630582846506,0.006939731754585161,0.006709659307817152,0.006709659307817152,0.006709659307817152,0.006615369013429269,90.0,0.1,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,0.06009661433627673,0.010311704232257028,0.008766628453661303,0.008482435162211033,0.008478665965279297,0.008478665965279297,0.008288630340983726,90.0,0.2,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,0.06699067266856709,0.011832630635813213,0.010089179440571232,0.009808997988992698,0.009808997988992698,0.009808997988992698,0.009603615869412508,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,0.06499658637634258,0.009697877989928636,0.008351125347786785,0.008111601256481513,0.00811025432446122,0.00811025432446122,0.008007408723613206,100.0,0.1,10.0
