,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,2177,150,129,121,121,121,113,5.0,0.2,100.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,10655,661,556,524,524,524,504,5.0,0.1,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,12365,772,647,610,610,610,596,10.0,0.1,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,5842,335,284,273,273,273,265,10.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,8195,574,505,481,481,481,469,20.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,6241,444,382,366,366,366,350,20.0,0.2,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,5296,413,350,343,343,343,331,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,14389,1023,891,854,854,854,829,30.0,0.1,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,16226,1222,1046,1013,1013,1013,983,40.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,10574,894,743,711,711,711,689,40.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,15529,1255,1086,1054,1054,1054,1029,50.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,6993,623,536,515,515,515,495,50.0,0.2,100.0
sig_2018_Mchi-60p0_dMchi-20p0_ctau-100,5452,490,415,402,402,402,375,50.0,0.4,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,7990,641,542,520,520,520,508,60.0,0.1,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,9055,781,671,649,649,649,624,70.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,7894,736,614,583,583,583,560,70.0,0.2,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,8905,843,708,687,686,686,666,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,10603,1038,897,861,860,860,829,80.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,25608,2330,2000,1953,1953,1953,1904,90.0,0.1,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,23255,2408,2041,1975,1974,1974,1890,90.0,0.2,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,12650,1366,1163,1110,1109,1109,1064,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,35859,3471,2938,2855,2854,2854,2789,100.0,0.1,100.0
