,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,14.287466646478146,0.9842401535942996,0.8463742571985693,0.7938758344658889,0.7938758344658889,0.7938758344658889,0.7413026161433293,5.0,0.2,100.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,443.65770975584616,27.525131103169503,23.152445183459527,21.820668382250606,21.820668382250606,21.820668382250606,20.987527770633676,5.0,0.1,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,238.68778001545107,14.902745443786154,12.489295589168359,11.775033824717692,11.775033824717692,11.775033824717692,11.504793946340918,10.0,0.1,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,7.5990383828599635,0.43577329312662333,0.369442962669185,0.3551225832581961,0.3551225832581961,0.3551225832581961,0.3447164901762211,10.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,200.84570710318246,14.07080293007541,12.381165852248825,11.792850249240693,11.792850249240693,11.792850249240693,11.499101444048131,20.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,6.142378087894154,0.4370097872938693,0.37597139458495377,0.3602153443169359,0.3602153443169359,0.3602153443169359,0.34447455855200265,20.0,0.2,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,1302.773429218097,101.59772477205576,86.0996071004039,84.37812382329874,84.37812382329874,84.37812382329874,81.42855865278736,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,24707.114125418568,1757.0336356016085,1530.2810905449758,1466.7307824559132,1466.7307824559132,1466.7307824559132,1423.8954629527627,30.0,0.1,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,108.8250664067727,8.196566201781152,7.0162308031343485,6.795264825847552,6.795264825847552,6.795264825847552,6.594063017693058,40.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,3.3521160259365645,0.28338236529393496,0.23552120405879043,0.22537803980341442,0.22537803980341442,0.22537803980341442,0.21840659678065016,40.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,43.75727543932692,3.5353340122609778,3.059298495403659,2.9691265683276047,2.9691265683276047,2.9691265683276047,2.898734254532354,50.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,1.3674891993564606,0.12183877185572789,0.1048238555887841,0.10071774053536876,0.10071774053536876,0.10071774053536876,0.09680929994339427,50.0,0.2,100.0
sig_2018_Mchi-60p0_dMchi-20p0_ctau-100,0.039956080246834585,0.003590464992361425,0.0030410222223891115,0.0029457441640318343,0.0029457441640318343,0.0029457441640318343,0.0027476809681815356,50.0,0.4,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,27.168568215224624,2.179735207345424,1.8431501280061475,1.7683930579329443,1.7683930579329443,1.7683930579329443,1.7276073922931627,60.0,0.1,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,19.49406129785201,1.6813208595757854,1.4444412109208056,1.3970877027186983,1.3970877027186983,1.3970877027186983,1.3432793899026478,70.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,0.6050470278809819,0.05640919647933081,0.0470596615500025,0.044680621134164794,0.044680621134164794,0.044680621134164794,0.04291603882711353,70.0,0.2,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,13.976451608268011,1.3229715296806244,1.1110812968824013,1.078139337157656,1.0765683148302552,1.0765683148302552,1.045199844383717,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,0.45146155023897216,0.04419961157333381,0.03819455964574383,0.03666098271183672,0.0366185248370442,0.0366185248370442,0.035298241466385265,80.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,10.547555290032232,0.9597472448779407,0.8238351999638801,0.8044739140488093,0.8044739140488093,0.8044739140488093,0.7842918206153847,90.0,0.1,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,0.34059775144836624,0.035267158619505426,0.029891484968149806,0.028925036133905915,0.028910315853013478,0.028910315853013478,0.027679393023881456,90.0,0.2,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,0.26384499304037673,0.028493811396905835,0.024258991244292902,0.02315387630882879,0.0231331105979944,0.0231331105979944,0.022195305917484448,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,8.07756262661406,0.781887708686249,0.661833086282783,0.6431314201263877,0.6429068144131227,0.6429068144131227,0.6282750909034567,100.0,0.1,100.0
