,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,5.0,0.1,100.0,27.73450134276837,19034.495374252998,0.20102481817694898
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,5.0,0.1,1.0,7572.305104022841,19034.495374252998,54.88547415738865
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5.0,0.1,10.0,439.55093590266637,19034.495374252998,3.185946842068637
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,5.0,0.2,1.0,266.4000806205445,19034.495374252998,1.9309172754617845
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,5.0,0.2,10.0,16.965408178127703,19034.495374252998,0.12296843026511117
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,5.0,0.2,100.0,0.9644782990287659,19034.495374252998,0.00699071788966651
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,10.0,0.2,100.0,0.44484366164177663,19034.495374252998,0.0032243095014947284
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,10.0,0.1,1.0,4616.983394075421,19034.495374252998,33.464753371598256
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,10.0,0.1,100.0,14.977307372512989,19034.495374252998,0.10855830628174443
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,10.0,0.2,10.0,9.839572831386517,19034.495374252998,0.07131905185250698
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,10.0,0.1,10.0,313.43312241580736,19034.495374252998,2.271821500071788
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,10.0,0.2,1.0,169.82421202611326,19034.495374252998,1.2309174382720456
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,20.0,0.2,100.0,0.42909186531952404,19034.495374252998,0.0031101375554226994
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,20.0,0.1,100.0,14.120705091085611,19034.495374252998,0.1023494938085828
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,20.0,0.1,10.0,308.2645498442762,19034.495374252998,2.2343587258691673
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,20.0,0.2,10.0,9.195836537926933,19034.495374252998,0.06665313160583348
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,20.0,0.1,1.0,3612.884287441323,19034.495374252998,26.186856507756232
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,20.0,0.2,1.0,138.67483976778664,19034.495374252998,1.0051410012931654
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,30.0,0.2,10.0,1671.5850906866592,19034.495374252998,12.11595928009005
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,30.0,0.2,100.0,96.92024356267356,19034.495374252998,0.7024959309366582
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,30.0,0.2,1.0,7609.524639229708,19034.495374252998,55.15524826311786
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,30.0,0.1,100.0,1763.8306027150913,19034.495374252998,12.784571888406887
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,30.0,0.1,1.0,4156.591358316678,19034.495374252998,30.127746365966676
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,30.0,0.1,10.0,3088.3265199334787,19034.495374252998,22.384764357861997
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,40.0,0.2,100.0,0.2602399387290486,19034.495374252998,0.0018862674226168528
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,40.0,0.2,1.0,78.83919935954226,19034.495374252998,0.5714411635023201
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,40.0,0.2,10.0,5.797324460945901,19034.495374252998,0.04202008470501317
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,40.0,0.1,1.0,2174.3272176438836,19034.495374252998,15.759927614419611
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,40.0,0.1,10.0,174.34102630372837,19034.495374252998,1.2636561472783778
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,40.0,0.1,100.0,8.197401769855595,19034.495374252998,0.05941629092020064
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,50.0,0.1,1.0,939.1156916890111,19034.495374252998,6.8068849998677905
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,50.0,0.1,100.0,3.504454000956064,19034.495374252998,0.025400933647410404
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,50.0,0.2,1.0,34.27694218120632,19034.495374252998,0.2484456448118351
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,50.0,0.1,10.0,71.54277022129996,19034.495374252998,0.5185552895964385
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,50.0,0.2,10.0,2.5958387707739274,19034.495374252998,0.018815121658841992
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,50.0,0.2,100.0,0.11538526379764552,19034.495374252998,0.0008363338279838603
sig_2018_Mchi-60p0_dMchi-20p0_ctau-1,50.0,0.4,1.0,1.0491943705960236,19034.495374252998,0.007604755714720605
sig_2018_Mchi-60p0_dMchi-20p0_ctau-100,50.0,0.4,100.0,0.0033486296924559603,19034.495374252998,2.4271490110761066e-05
sig_2018_Mchi-60p0_dMchi-20p0_ctau-10,50.0,0.4,10.0,0.07451816189627558,19034.495374252998,0.0005401214812172999
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,60.0,0.1,10.0,46.02442765300403,19034.495374252998,0.3335936019291619
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,60.0,0.1,1.0,598.7629895233171,19034.495374252998,4.3399453847183045
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,60.0,0.1,100.0,2.040346831723531,19034.495374252998,0.01478881288673625
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,70.0,0.2,100.0,0.05103971814346808,19034.495374252998,0.00036994535913185625
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,70.0,0.2,10.0,1.2091622759893015,19034.495374252998,0.00876423281143848
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,70.0,0.2,1.0,16.764124477875395,19034.495374252998,0.1215094886117126
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,70.0,0.1,1.0,431.61802933867864,19034.495374252998,3.128447661537808
