,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,5.0,0.1,1.0,6345.328187166095,14115.205254935872,53.40851346576387
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,5.0,0.2,1.0,234.16747559989744,14115.205254935872,1.970983439298927
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,5.0,0.2,10.0,13.694310739952305,14115.205254935872,0.11526476771341702
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,5.0,0.1,100.0,20.987527770633676,14115.205254935872,0.17665164456239038
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,5.0,0.2,100.0,0.7413026161433293,14115.205254935872,0.006239530815218436
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5.0,0.1,10.0,351.88092432997297,14115.205254935872,2.9617754245452494
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,10.0,0.1,100.0,11.504793946340918,14115.205254935872,0.09683564415892106
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,10.0,0.2,100.0,0.3447164901762211,14115.205254935872,0.002901472510860003
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,10.0,0.2,10.0,8.35917895777457,14115.205254935872,0.07035905925748878
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,10.0,0.1,1.0,3955.877840035812,14115.205254935872,33.29655277969615
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,10.0,0.1,10.0,266.3005592530259,14115.205254935872,2.2414470276844307
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,10.0,0.2,1.0,149.99010744125243,14115.205254935872,1.262464042318543
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,20.0,0.2,100.0,0.34447455855200265,14115.205254935872,0.0028994361767211325
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,20.0,0.2,10.0,8.037507434572332,14115.205254935872,0.06765155582003894
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,20.0,0.1,10.0,262.49078654170853,14115.205254935872,2.209380239150871
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,20.0,0.1,1.0,3150.299695978085,14115.205254935872,26.516015999635986
