,Preselections,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,575,75,75,74,74,74,48,5.0,0.2,100.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,2656,287,287,273,273,260,116,5.0,0.1,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,1787,390,390,371,371,366,279,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,3283,572,572,545,545,539,367,10.0,0.1,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,2595,616,615,595,595,584,478,20.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,2344,620,619,601,601,591,512,20.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,5167,1350,1349,1319,1319,1297,1081,30.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,2149,577,577,558,558,552,506,30.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,6028,1611,1611,1554,1554,1536,1310,40.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,4480,1320,1319,1277,1277,1254,1114,40.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,5993,1700,1699,1650,1650,1630,1427,50.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,3161,990,990,959,959,948,815,50.0,0.2,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,3409,1008,1008,974,974,957,837,60.0,0.1,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,4170,1255,1254,1211,1211,1189,1007,70.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,4390,1472,1471,1418,1418,1390,1158,70.0,0.2,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,4759,1553,1552,1503,1503,1480,1228,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,5352,1922,1921,1861,1861,1829,1479,80.0,0.2,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,11997,4401,4395,4224,4224,4161,3212,90.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,13659,4584,4582,4455,4455,4384,3634,90.0,0.1,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,6695,2537,2536,2440,2440,2398,1810,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,16416,5767,5760,5566,5566,5483,4444,100.0,0.1,100.0
