,Preselections,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,0.004011845679950761,0.001027862501470183,0.001027862501470183,0.0009871484812723193,0.0009871484812723193,0.0009690336977405999,0.0005523994805079805,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,0.0048751390699744036,0.0016009051553877956,0.0016009051553877956,0.001549159448999765,0.001549159448999765,0.0015285169725512142,0.0011800881661595192,5.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,0.005590821375733521,0.0019290890122981095,0.0019275380092683542,0.0018591637945916534,0.0018591637945916534,0.0018436368095485042,0.0014735165654213226,10.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,0.006618594149625248,0.00261018468248728,0.002606590661246369,0.0025243494051965243,0.0025243494051965243,0.002490386772498827,0.002166901013868756,10.0,0.2,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,0.009596320516126619,0.004393633454647364,0.004385984423854246,0.004238691308188973,0.004236782402388499,0.004192805167984997,0.0037491513262907224,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,0.00838707740204745,0.003519459835139908,0.0035119504964419264,0.00339448881214043,0.00339448881214043,0.00335452060038829,0.00289483784767708,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,0.012458557745550226,0.006092734748286911,0.006092734748286911,0.005911032632733731,0.005911032632733731,0.005828909386255044,0.005301382746832141,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,0.010848149608519684,0.004866401205004657,0.004856721803194236,0.004726731381199619,0.004726731381199619,0.004664616999793218,0.0040688438069660954,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,0.016848151349537672,0.008605172928167551,0.008594255189190313,0.008343537919458232,0.008343537919458232,0.008242741724336897,0.00725630436542246,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,0.014399855742523605,0.006799148947583536,0.006796904198688427,0.006604275624577496,0.006604275624577496,0.006521396922534827,0.005775300129010336,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,0.02142382529182928,0.011220472429800244,0.011220472429800244,0.010815124009255835,0.010815124009255835,0.01061696526848588,0.009202019966554264,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,0.01859775632679067,0.008704580190472657,0.008699765260642053,0.008399205981450341,0.008399205981450341,0.008283879087319335,0.0073121796240632995,50.0,0.1,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,0.02281195350167812,0.010886285944127562,0.010871434268965157,0.010522494548892201,0.010522494548892201,0.010429798550923797,0.009123318041567338,60.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,0.03275361876131357,0.017682057433316377,0.017673557523729375,0.017009710670823578,0.017009710670823578,0.016784148903847045,0.013434111222425271,70.0,0.2,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,0.027670959677721357,0.013907775793767757,0.013897705370122141,0.013386249914665967,0.013386249914665967,0.013241540418587392,0.011215307908480349,70.0,0.1,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,0.0325024795809986,0.016493791161584663,0.016490414157537495,0.01593540552367849,0.01593540552367849,0.015779810906089313,0.013079760415109028,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,0.03833159187055411,0.021161437452695296,0.021147613198756878,0.020428949184150537,0.020428949184150537,0.020152404773820267,0.01535164029851063,80.0,0.2,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,0.045037154783835125,0.025141501362545546,0.025114190476371756,0.02430700251859905,0.02430700251859905,0.023985222232301054,0.01777052803940073,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,0.03735983713775695,0.019635144950525898,0.019618497534247895,0.018995512312252823,0.018994321522244045,0.018780308185052035,0.01512173270005659,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,0.051207728819284586,0.029192744841384684,0.029162822649900753,0.028243991728853904,0.028243991728853904,0.02784440630897155,0.01973053202066239,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,0.042735772447414035,0.0225533967660132,0.022542311025343115,0.021803980665846417,0.021803980665846417,0.02150449824556494,0.016958268285328308,100.0,0.1,10.0
