,Preselections,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,2317.3820536823337,593.7292469807232,593.7292469807232,570.2114082434797,570.2114082434797,559.7476771801099,319.08521531375294,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,92.15493613819022,30.261970015726423,30.261970015726423,29.283818992920924,29.283818992920924,28.893613488719733,22.307250732528434,5.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,1625.6104954696475,560.9099512100838,560.4589751129723,540.5782038401902,540.5782038401902,536.0635130366709,428.44581019779326,10.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,61.54058434688426,24.269850512385464,24.236432816373192,23.471742484814527,23.471742484814527,23.15595332854888,20.14813895529306,10.0,0.2,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,54.60812873029157,25.002093342120002,24.958566319704417,24.120390749409736,24.10952806787351,23.85927439267864,21.334649870371813,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,1502.3912395989835,630.4467421683592,629.1015817347288,608.0604732503803,608.0604732503803,600.9009004551901,518.5571581046696,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,9505.83416611545,4648.7344135825315,4648.7344135825315,4510.0963614614675,4510.0963614614675,4447.436623620765,4044.935719826076,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,13998.620121487435,6279.679418700864,6267.188968823504,6099.447316781262,6099.447316781262,6019.293957842839,5250.499010693264,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,30.807781222962145,15.735037005351758,15.715073312785014,15.256622849319994,15.256622849319994,15.072311403928671,13.26855586344758,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,834.9128920899427,394.2190264318861,394.088874448037,382.9201459006263,382.9201459006263,378.11478548227404,334.8556138073086,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,12.479070052884262,6.5357637849733425,6.5357637849733425,6.299654160903132,6.299654160903132,6.184229544898505,5.360044260371456,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,344.5802382282911,161.27893402870112,161.18972274756973,155.62094411611665,155.62094411611665,153.48416116469443,135.48046079075544,50.0,0.1,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,218.2838774190764,104.16910180016572,104.02698853308495,100.68804103446547,100.68804103446547,99.80104808770685,87.29954832207746,60.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,5.843154893896254,3.1544300853764247,3.1529137250419255,3.03448528464206,3.03448528464206,2.994245689982628,2.3966082437027394,70.0,0.2,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,157.41497850924654,79.11876758831858,79.06147880830456,76.15190319304709,76.15190319304709,75.32867759911754,63.80181511411166,70.0,0.1,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,118.79073373664063,60.281848629450415,60.269506285304175,58.24104926614108,58.24104926614108,57.67237884384826,47.80417853776963,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,4.388476448584873,2.422713624651058,2.421130924589112,2.3388530971199084,2.3388530971199084,2.307192303176872,1.7575662426092313,80.0,0.2,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,3.457686065143628,1.9302156038787994,1.928118835754723,1.8661477239707216,1.8661477239707216,1.8414433389510476,1.3643159179792153,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,91.59222330266915,48.13796629405812,48.09715311107969,46.56982842396085,46.56690905619197,46.04222910917931,37.07278254666432,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,2.737596545115538,1.5606620184669748,1.559062359784244,1.5099410960023616,1.5099410960023616,1.4885790147273077,1.0548063258903089,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,72.71480980766736,38.37454812301504,38.35568576302391,37.099418505140804,37.099418505140804,36.589849916944495,28.854451023492892,100.0,0.1,10.0
